Name,Height,Weight,Season,Age,Team,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
DeMarre Carroll,NA,NA,2009-10,23,MEM,NBA,SF,71,795,8.5,0.426,0.027,0.239,7.8,14.3,11,5.9,1.8,0.9,8.9,14.8,-0.1,0.6,0.5,0.031,-3.8,-0.4,-4.2,-0.4
DeMarre Carroll,NA,NA,2010-11,24,TOT,NBA,PF,12,50,8.7,0.388,0,0.167,4.7,14.5,9.6,10.7,1,1.6,0,11.6,0,0,0.1,0.066,-2.9,-0.5,-3.5,0
DeMarre Carroll,NA,NA,2011-12,25,TOT,NBA,SF-PF,24,348,11.1,0.478,0.181,0.152,9.1,8.3,8.8,8.1,1.8,0.2,8.9,15.9,0.3,0.2,0.5,0.069,-1.4,-0.6,-1.9,0
DeMarre Carroll,NA,NA,2012-13,26,UTA,NBA,SF,66,1111,15.5,0.535,0.216,0.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,2,1.1,3.1,0.134,0.4,0.9,1.3,0.9
DeMarre Carroll,NA,NA,2013-14,27,ATL,NBA,SF,73,2341,13.9,0.575,0.417,0.22,5.3,14.5,10,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,0.119,-0.1,0.7,0.7,1.6
DeMarre Carroll,NA,NA,2014-15,28,ATL,NBA,SF,70,2189,15.9,0.603,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,4.3,2.8,7,0.154,1.2,0.4,1.7,2
DeMarre Carroll,NA,NA,2015-16,29,TOR,NBA,SF,26,786,11.9,0.49,0.437,0.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,0.2,1,1.2,0.074,-0.8,1.1,0.3,0.5
DeMarre Carroll,NA,NA,2016-17,30,TOR,NBA,SF,72,1882,11.9,0.53,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,3.8,0.097,-0.4,0.4,0,1
DeMarre Carroll,NA,NA,2017-18,31,BRK,NBA,PF,73,2180,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1,10.3,19.8,2.3,1.8,4.1,0.091,0.5,-0.4,0.2,1.2
DeMarre Carroll,NA,NA,2018-19,32,BRK,NBA,PF,67,1703,12.1,0.546,0.539,0.421,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,1.5,1.6,3.1,0.088,-0.9,-0.6,-1.5,0.2
DeMarre Carroll,NA,NA,2019-20,33,TOT,NBA,SF,21,231,8.5,0.523,0.5,0.667,5.1,16.7,10.9,10.1,0.8,1.5,18.6,15.8,0,0.1,0.1,0.026,-3.4,-1.1,-4.5,-0.1
Jevon Carter,73,195,2018-19,23,MEM,NBA,PG,39,577,7.8,0.432,0.551,0.173,2.7,10.3,6.4,17.4,2.2,1.8,14.2,18,-0.7,0.7,0,-0.003,-4.1,0.1,-4,-0.3
Jevon Carter,73,195,2019-20,24,PHO,NBA,PG,50,754,10.4,0.535,0.571,0.122,3.6,11,7.2,11.7,2.4,1.5,12.6,13.9,0.3,0.7,1.1,0.068,-1.6,1,-0.6,0.3
Vince Carter,78,220,1998-99,22,TOR,NBA,SF,50,1760,19.6,0.516,0.086,0.35,6.1,12.6,9.3,17.2,1.7,3.3,11.1,25.6,3.6,1.4,5,0.136,3.1,-0.4,2.8,2.1
Vince Carter,78,220,1999-00,23,TOR,NBA,SF,82,3126,23.4,0.543,0.139,0.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30,9.1,2.7,11.8,0.182,5.6,-0.1,5.5,5.9
Vince Carter,78,220,2000-01,24,TOR,NBA,SF,75,2979,25,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2,1.9,8.2,30.7,10.3,2.6,12.9,0.208,7.6,0.1,7.6,7.2
Vince Carter,78,220,2001-02,25,TOR,NBA,SG,60,2385,20.5,0.515,0.239,0.235,6.4,8.7,7.5,19.9,2.1,1.3,9.6,30.5,4.6,2.4,7,0.14,4.7,-0.3,4.4,3.9
Vince Carter,78,220,2002-03,26,TOR,NBA,SG,43,1471,21.9,0.532,0.172,0.211,4.4,10.4,7.3,20.4,1.7,2,8.2,28.1,3.4,0.8,4.2,0.136,4.7,-0.2,4.5,2.4
Vince Carter,78,220,2003-04,27,TOR,NBA,SG,73,2785,20,0.501,0.167,0.286,3.9,10.6,7.2,28,1.7,1.7,12,32.5,2.6,3.4,6,0.103,3.5,0.2,3.6,3.9
Vince Carter,78,220,2004-05,28,TOT,NBA,SF-SG,77,2828,22.9,0.541,0.203,0.299,4.4,12.6,8.4,25.7,2.1,1.3,8.8,31.6,5.9,3.5,9.4,0.159,5.3,0.8,6,5.8
Vince Carter,78,220,2005-06,29,NJN,NBA,SG,79,2906,21.6,0.536,0.242,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,4.9,4.4,9.3,0.153,4.5,0.5,5.1,5.2
Vince Carter,78,220,2006-07,30,NJN,NBA,SG,82,3126,21.8,0.559,0.273,0.36,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.3,-0.4,3.9,4.6
Vince Carter,78,220,2007-08,31,NJN,NBA,SG,76,2959,18.8,0.55,0.212,0.333,4.4,13.4,8.9,25.2,1.6,0.9,10.9,25.6,5.5,2.2,7.7,0.126,2.6,-0.3,2.4,3.3
Vince Carter,78,220,2008-09,32,NJN,NBA,SG,80,2946,19.3,0.545,0.291,0.305,3,13.8,8.3,23.7,1.5,1.1,9.8,26.8,5.7,1.8,7.5,0.123,3.3,-0.8,2.4,3.3
Vince Carter,78,220,2009-10,33,ORL,NBA,SG,75,2310,17.1,0.541,0.319,0.301,1.7,12.6,7.3,17.8,1.2,0.6,8.4,25.2,4.4,3,7.4,0.154,1.6,0.4,2,2.3
Vince Carter,78,220,2010-11,34,TOT,NBA,SG,73,2051,14.8,0.528,0.36,0.194,3.1,12.4,7.8,12.1,1.7,0.7,8.5,23.5,2,1.9,3.8,0.089,0.1,0.2,0.3,1.2
Vince Carter,78,220,2011-12,35,DAL,NBA,SG,61,1542,13.6,0.519,0.378,0.212,2.3,12.5,7.5,15,1.9,1.3,12.4,20.4,1,1.8,2.9,0.09,-0.7,0.8,0.1,0.8
Vince Carter,78,220,2012-13,36,DAL,NBA,SF,81,2093,17.8,0.571,0.467,0.261,3.1,14.4,8.9,15,1.8,1.6,10,23.1,3.9,2,6,0.137,2.7,0.3,3.1,2.6
Vince Carter,78,220,2013-14,37,DAL,NBA,SG,81,1973,15.9,0.539,0.457,0.242,4,12.6,8.3,16.5,1.6,1.5,10.7,23.1,3,1.3,4.3,0.105,1.8,-0.5,1.2,1.6
Vince Carter,78,220,2014-15,38,MEM,NBA,SG,66,1091,9.6,0.445,0.571,0.14,2.8,11.1,7,11.1,2.1,1.1,9.1,19.9,-0.5,1.4,1,0.043,-2.1,0.4,-1.7,0.1
Vince Carter,78,220,2015-16,39,MEM,NBA,SG,60,1005,12.7,0.52,0.493,0.245,3.4,13.6,8.3,8.9,1.9,1.5,8.4,18.5,1,0.8,1.8,0.084,-0.4,-0.6,-1,0.3
Vince Carter,78,220,2016-17,40,MEM,NBA,SF,73,1799,11.7,0.542,0.604,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,4,0.106,-0.3,1.1,0.8,1.3
Vince Carter,78,220,2017-18,41,SAC,NBA,SF,58,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.056,-1.9,0.7,-1.2,0.2
Vince Carter,78,220,2018-19,42,ATL,NBA,PF,76,1330,11.8,0.565,0.675,0.141,2.4,13.2,7.7,9.3,1.5,1.8,8.8,16.7,1.2,0.7,1.9,0.07,-0.4,-0.3,-0.7,0.5
Vince Carter,78,220,2019-20,43,ATL,NBA,SF,60,876,7.6,0.47,0.664,0.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5
Wendell Carter,81,259,2018-19,19,CHI,NBA,C,44,1110,15.2,0.541,0.086,0.302,8.4,21.8,15,10.7,1.1,4.5,13.4,19.1,0.7,1.2,1.9,0.08,-2.2,0.6,-1.6,0.1
Wendell Carter,81,259,2019-20,20,CHI,NBA,C,43,1256,15.5,0.59,0.085,0.443,11.6,24.6,17.8,6,1.3,2.7,14.9,16.4,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1
Michael Carter-Williams,77,190,2013-14,22,PHI,NBA,PG,70,2414,15.5,0.48,0.197,0.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,-0.8,2.1,1.3,0.026,-0.2,-0.2,-0.5,0.9
Michael Carter-Williams,77,190,2014-15,23,TOT,NBA,PG,66,2149,14.1,0.461,0.166,0.317,3.2,15.3,9,37.3,2.6,1.1,19.5,26.7,-2.1,2.9,0.8,0.017,-1.3,0.3,-1.1,0.5
Michael Carter-Williams,77,190,2015-16,24,MIL,NBA,PG,54,1649,13.9,0.497,0.099,0.292,3.4,15.7,9.6,26.6,2.5,2.1,19.6,21.3,-0.4,1.6,1.2,0.035,-1.4,0.6,-0.7,0.5
Michael Carter-Williams,77,190,2016-17,25,CHI,NBA,PG,45,846,9.9,0.437,0.209,0.252,3,16.6,9.8,20,2.3,2.2,16.3,20.9,-1,1.3,0.2,0.013,-4.5,1.3,-3.2,-0.3
Michael Carter-Williams,77,190,2017-18,26,CHO,NBA,PG,52,835,10.8,0.446,0.258,0.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,-0.2,1.1,0.9,0.05,-3.3,1.8,-1.5,0.1
Michael Carter-Williams,77,190,2018-19,27,TOT,NBA,PG,28,372,14.7,0.458,0.309,0.431,5.4,15,10.1,26.5,2.6,3.4,12,19.4,0.2,0.6,0.8,0.099,-1.4,2.2,0.8,0.3
Michael Carter-Williams,77,190,2019-20,28,ORL,NBA,SG,42,773,15.7,0.539,0.281,0.36,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,0.7,1.1,1.9,0.116,-1.3,1.7,0.4,0.5
Alex Caruso,77,186,2017-18,23,LAL,NBA,PG,37,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,0.041,-3.8,0.9,-2.9,-0.1
Alex Caruso,77,186,2018-19,24,LAL,NBA,PG,25,531,13.9,0.569,0.289,0.37,4,9,6.5,19.7,2.1,1.4,17.3,19,0.5,0.6,1,0.093,-1,0.7,-0.2,0.2
Alex Caruso,77,186,2019-20,25,LAL,NBA,PG,58,1032,11,0.538,0.412,0.292,1.5,10.1,5.9,12.6,2.8,1.4,13.6,13.9,0.6,1.6,2.2,0.103,-2.4,2.4,0.1,0.5
Omri Casspi,81,225,2009-10,21,SAC,NBA,SF,77,1931,13,0.529,0.302,0.259,4.4,16.5,10.4,7.7,1.4,0.6,11.6,19.4,1.1,1.4,2.5,0.063,-0.3,-0.8,-1.1,0.4
Omri Casspi,81,225,2010-11,22,SAC,NBA,SF,71,1702,11.7,0.517,0.452,0.185,4.8,16,10.3,6.6,1.6,0.6,10.3,16.7,1.1,1.3,2.5,0.069,-0.1,-0.4,-0.6,0.6
Omri Casspi,81,225,2011-12,23,CLE,NBA,SF,65,1341,11.2,0.499,0.408,0.262,5.1,14.5,9.7,8.4,1.5,1.2,12.2,17.6,0.6,0.6,1.2,0.044,-1.3,-0.9,-2.2,-0.1
Omri Casspi,81,225,2012-13,24,CLE,NBA,SF,43,503,12.9,0.486,0.475,0.256,4.4,22.7,13.1,8.8,2.6,1.9,11,17.7,0.1,0.6,0.7,0.064,-0.8,0.7,-0.1,0.2
Omri Casspi,81,225,2013-14,25,HOU,NBA,PF,71,1283,12.9,0.528,0.429,0.298,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,1,1.4,2.4,0.091,-0.4,0,-0.3,0.5
Omri Casspi,81,225,2014-15,26,SAC,NBA,SF,67,1416,14.4,0.58,0.204,0.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,2,0.6,2.7,0.091,0.3,-1.1,-0.8,0.4
Omri Casspi,81,225,2015-16,27,SAC,NBA,PF,69,1880,13.9,0.587,0.441,0.256,3.4,20.1,11.8,7.5,1.4,0.7,12,17.8,2.1,1.5,3.6,0.092,0.4,-0.2,0.1,1
Omri Casspi,81,225,2016-17,28,TOT,NBA,PF,36,643,10,0.526,0.262,0.177,4.9,15.2,10.1,8.6,1.8,0.4,14.1,14.4,0.1,0.4,0.5,0.038,-2.6,-0.5,-3.2,-0.2
Omri Casspi,81,225,2017-18,29,GSW,NBA,SF,53,740,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.141,-0.9,0,-0.9,0.2
Omri Casspi,81,225,2018-19,30,MEM,NBA,SF,36,520,15.7,0.606,0.267,0.36,3.6,21.5,12.4,8.1,1.9,1.6,11,18,0.6,0.7,1.3,0.119,-0.3,0.7,0.4,0.3
Willie Cauley-Stein,NA,NA,2015-16,22,SAC,NBA,C,66,1412,15.3,0.588,0.006,0.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,2.4,1.4,3.8,0.13,-0.8,0.1,-0.8,0.4
Willie Cauley-Stein,NA,NA,2016-17,23,SAC,NBA,C,75,1421,16.3,0.558,0.004,0.314,7,20.4,13.8,9.4,1.9,2.8,11.2,19.7,1.4,1.5,2.9,0.1,-1.2,0.2,-1,0.3
Willie Cauley-Stein,NA,NA,2017-18,24,SAC,NBA,C,73,2044,17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,0.092,-0.4,0.3,-0.1,1
Willie Cauley-Stein,NA,NA,2018-19,25,SAC,NBA,C,81,2213,18,0.566,0.003,0.343,8.2,23.7,15.8,12.3,2,2,9,17.5,3.8,2.9,6.7,0.146,0.2,1.1,1.2,1.8
Willie Cauley-Stein,NA,NA,2019-20,26,TOT,NBA,C,54,1097,17,0.589,0.003,0.219,8,23.2,15.5,9.9,2.1,4.9,10.8,14.4,1.5,1.5,3,0.129,-1.2,1.7,0.5,0.7
Troy Caupain,NA,NA,2018-19,23,ORL,NBA,PG,4,16,30.7,0.625,0.375,0,6.6,13.6,10,42.5,3.1,0,0,21.8,0.1,0,0.1,0.347,9.6,3.7,13.3,0.1
Tyler Cavanaugh,81,238,2017-18,23,ATL,NBA,PF,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8,14.8,0.9,0.3,1.2,0.109,-0.4,-1.5,-1.9,0
Tyler Cavanaugh,81,238,2018-19,24,UTA,NBA,PF,11,39,5,0.414,0.5,0.2,8.5,13.6,11.1,3.4,0,0,8.4,13,0,0,0,0.026,-5.3,-3.1,-8.4,-0.1
Mario Chalmers,NA,NA,2008-09,22,MIA,NBA,PG,82,2626,13.3,0.548,0.47,0.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,2.1,3.1,5.2,0.095,-1.4,1.1,-0.4,1
Mario Chalmers,NA,NA,2009-10,23,MIA,NBA,PG,73,1807,10.7,0.519,0.52,0.242,1.6,7.1,4.4,21,2.7,0.5,19.7,16.3,0.3,2.4,2.7,0.072,-2.3,1.1,-1.3,0.3
Mario Chalmers,NA,NA,2010-11,24,MIA,NBA,PG,70,1579,10.3,0.538,0.595,0.16,1,9.5,5.5,16.8,2.5,0.3,18,15,0.7,2.3,2.9,0.089,-2.3,1.5,-0.8,0.5
Mario Chalmers,NA,NA,2011-12,25,MIA,NBA,PG,64,1825,13,0.578,0.522,0.203,1.1,9.8,5.6,19,2.8,0.5,20.7,17.4,1.5,2.8,4.3,0.112,-0.8,1.2,0.4,1.1
Mario Chalmers,NA,NA,2012-13,26,MIA,NBA,PG,77,2068,13.3,0.576,0.569,0.212,1.2,8.6,5.1,19.4,3,0.5,17.1,16.1,2.6,2.5,5.2,0.12,-0.5,0.9,0.4,1.3
Mario Chalmers,NA,NA,2013-14,27,MIA,NBA,PG,73,2178,14,0.567,0.404,0.291,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,2.4,2.5,4.8,0.106,-0.3,0.5,0.2,1.2
Mario Chalmers,NA,NA,2014-15,28,MIA,NBA,PG,80,2368,11.7,0.521,0.374,0.401,1.2,9,5.2,21,2.7,0.4,18.2,18.9,0.8,2,2.8,0.056,-2.6,0.1,-2.5,-0.3
Mario Chalmers,NA,NA,2015-16,29,TOT,NBA,PG,61,1373,17.3,0.561,0.336,0.59,1.9,11.5,6.5,26.6,3.3,0.9,16.4,21.9,2.3,1.5,3.8,0.132,0,1.3,1.3,1.2
Mario Chalmers,NA,NA,2017-18,31,MEM,NBA,PG,66,1421,10.4,0.503,0.431,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,0.021,-3.7,0.5,-3.2,-0.4
Tyson Chandler,84,240,2001-02,19,CHI,NBA,C,71,1389,13,0.543,0,0.73,9.3,19.8,14.4,6.5,1.1,5,19.8,16.6,0.4,1.4,1.8,0.062,-3.3,-0.2,-3.5,-0.5
Tyson Chandler,84,240,2002-03,20,CHI,NBA,C,75,1827,15.8,0.565,0,0.601,10.4,20.6,15.5,6.8,1,4.2,18.1,18.1,1.8,2.1,3.9,0.102,-1.1,0.2,-0.9,0.5
Tyson Chandler,84,240,2003-04,21,CHI,NBA,PF,35,782,14.2,0.507,0.006,0.747,11.1,27,18.9,4.7,1.1,4.1,15.3,14.2,0.7,1.2,1.9,0.116,-2.1,0.3,-1.8,0
Tyson Chandler,84,240,2004-05,22,CHI,NBA,C,80,2189,16.4,0.565,0.005,0.802,13.4,26.1,19.8,4.8,1.6,4.8,17.2,14,2.8,5.5,8.3,0.183,-0.8,2.7,1.9,2.1
Tyson Chandler,84,240,2005-06,23,CHI,NBA,C,79,2121,12.2,0.567,0.004,0.682,14.4,24.2,19.3,5.6,1,3.8,25.1,10.4,1.5,3.9,5.4,0.123,-2.2,1.8,-0.4,0.9
Tyson Chandler,84,240,2006-07,24,NOK,NBA,C,73,2525,17,0.62,0.002,0.429,14.3,27.3,20.7,4.1,0.8,4.1,18.5,12.3,4.1,3.8,7.9,0.15,-0.1,0.7,0.6,1.6
Tyson Chandler,84,240,2007-08,25,NOH,NBA,C,79,2783,17.5,0.632,0.002,0.488,13.2,26.1,19.5,4.4,0.9,2.4,15.6,14.5,5.9,4.1,10,0.172,0.7,-0.2,0.4,1.7
Tyson Chandler,84,240,2008-09,26,NOH,NBA,C,45,1445,13.4,0.581,0,0.47,13.7,19.2,16.4,2.4,0.6,3.3,17,13.7,1.7,1.7,3.4,0.114,-1.6,-0.9,-2.5,-0.2
Tyson Chandler,84,240,2009-10,27,CHA,NBA,C,51,1163,12.5,0.643,0,0.826,12,21,16.6,2.2,0.8,3.9,26,14,0.9,2,2.9,0.12,-3.1,1.1,-2,0
Tyson Chandler,84,240,2010-11,28,DAL,NBA,C,74,2059,18.4,0.697,0,0.725,12.2,26.6,19.7,2.4,0.9,3,14.1,14.2,5.8,3.5,9.4,0.218,0.6,1,1.5,1.8
Tyson Chandler,84,240,2011-12,29,NYK,NBA,C,62,2061,18.7,0.708,0.006,0.887,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13,5.8,3.6,9.5,0.22,1.2,1.1,2.3,2.2
Tyson Chandler,84,240,2012-13,30,NYK,NBA,C,66,2164,18.9,0.671,0,0.645,14.1,24.3,19,4.5,1,3,14.5,13,6.7,2.6,9.3,0.207,1.5,-0.3,1.3,1.8
Tyson Chandler,84,240,2013-14,31,NYK,NBA,C,55,1662,16.4,0.615,0.003,0.481,10.9,27,18.7,5.5,1.2,3.4,15.4,12.9,3.1,1.9,4.9,0.143,0.3,-0.1,0.2,0.9
Tyson Chandler,84,240,2014-15,32,DAL,NBA,C,75,2286,20.1,0.697,0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16,12.8,7.2,3.1,10.3,0.216,2.4,0.2,2.6,2.7
Tyson Chandler,84,240,2015-16,33,PHO,NBA,C,66,1618,14.7,0.606,0.003,0.545,11.5,27.5,19.3,6,1.1,2.2,19.3,12.7,2.1,1.6,3.8,0.112,-0.8,-0.2,-1.1,0.4
Tyson Chandler,84,240,2016-17,34,PHO,NBA,C,47,1298,16.6,0.703,0,0.544,12.5,33.2,22.6,3.3,1.2,1.5,18.7,11.2,2.7,1.3,4.1,0.151,0.7,-0.3,0.3,0.8
Tyson Chandler,84,240,2017-18,35,PHO,NBA,C,46,1151,14.2,0.658,0,0.497,12.2,26.8,19.4,6.6,0.7,1.9,20.6,10.6,1.9,0.8,2.7,0.111,-0.8,-0.6,-1.4,0.2
Tyson Chandler,84,240,2018-19,36,TOT,NBA,C,55,875,11.2,0.63,0.01,0.879,11.1,25.3,18.3,5.3,1.1,2.2,23.4,8.5,0.9,1.2,2.1,0.114,-2.9,0.8,-2.1,0
Tyson Chandler,84,240,2019-20,37,HOU,NBA,C,26,219,10.8,0.717,0,0.722,11.9,19.8,15.8,3.5,1.3,3.1,25.2,6,0.3,0.3,0.6,0.13,-2.5,1.1,-1.4,0
Wilson Chandler,80,235,2007-08,20,NYK,NBA,SF,35,685,11.7,0.48,0.124,0.223,6.1,15.3,10.6,8.1,1.1,1.8,9.2,19.2,0.2,0.4,0.5,0.038,-2.9,-1.1,-4,-0.3
Wilson Chandler,80,235,2008-09,21,NYK,NBA,SF,82,2735,12.9,0.515,0.298,0.204,3.5,14.7,8.9,9.9,1.3,2,10.8,20.5,1,2.1,3.1,0.054,-1,0,-1,0.7
Wilson Chandler,80,235,2009-10,22,NYK,NBA,SG,65,2320,13.7,0.534,0.174,0.186,4.5,12.7,8.5,9.8,1,1.6,10.4,20.2,1.8,0.9,2.7,0.057,-1,-1.1,-2.1,0
Wilson Chandler,80,235,2010-11,23,TOT,NBA,SF,72,2401,14.6,0.537,0.336,0.169,3.6,15.9,9.7,8.1,1,2.9,9.2,20.9,2.1,1.9,3.9,0.079,0.2,-0.4,-0.2,1.1
Wilson Chandler,80,235,2011-12,24,DEN,NBA,SF,8,215,9,0.445,0.152,0.152,3.4,18.4,11.1,12,1.4,2.2,17.6,21.2,-0.3,0.2,-0.1,-0.021,-3.6,-1,-4.6,-0.1
Wilson Chandler,80,235,2012-13,25,DEN,NBA,PF,43,1079,16.6,0.556,0.277,0.244,4.8,17.6,11.3,8.3,2.1,0.9,10.6,22.7,1.8,1.3,3.1,0.137,0.7,-0.1,0.5,0.7
Wilson Chandler,80,235,2013-14,26,DEN,NBA,SF,62,1927,12.4,0.526,0.476,0.206,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,1.8,1.2,3.1,0.076,-0.1,-0.6,-0.8,0.6
Wilson Chandler,80,235,2014-15,27,DEN,NBA,SF,78,2471,13.2,0.523,0.416,0.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,2.1,1.5,3.6,0.071,0.2,-0.7,-0.6,0.9
Wilson Chandler,80,235,2016-17,29,DEN,NBA,SF,71,2197,14.9,0.545,0.347,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10,22,2.4,1.1,3.5,0.077,0.5,-1.5,-1,0.5
Wilson Chandler,80,235,2017-18,30,DEN,NBA,SF,74,2346,10.9,0.542,0.39,0.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-1,-1.1,-2.1,-0.1
Wilson Chandler,80,235,2018-19,31,TOT,NBA,PF-SF,51,1177,8.5,0.537,0.579,0.092,4.4,14.6,9.7,9.1,1,1.4,13.9,11.8,0.5,1,1.5,0.062,-2.3,-0.5,-2.8,-0.2
Wilson Chandler,80,235,2019-20,32,BRK,NBA,SF,35,734,7.4,0.531,0.661,0.126,1.6,18.3,10.2,7.4,1,1.4,15,13,-0.1,0.9,0.8,0.05,-3.9,1,-2.9,-0.2
Joe Chealey,75,190,2018-19,23,CHO,NBA,PG,1,8,2,0.333,0,0,0,0,0,17.7,0,0,0,16.2,0,0,0,-0.08,-8.5,-6,-14.6,0
Joe Chealey,75,190,2019-20,24,CHO,NBA,PG,4,33,-2.8,0.127,0.571,0.286,0,0,0,3.9,6.1,0,20.2,13.2,-0.2,0,-0.1,-0.189,-14.3,1.7,-12.6,-0.1
Zylan Cheatham,77,220,2019-20,24,NOP,NBA,SF,3,31,0.1,0.4,0.2,0,3.4,17.1,10.2,7.9,0,2.7,37.5,10.5,-0.1,0,-0.1,-0.08,-10.2,0.1,-10.2,-0.1
Chris Chiozza,71,175,2018-19,23,HOU,NBA,PG,7,33,7,0.375,0.625,0,3.3,10.3,6.7,16.1,1.5,2.6,11.1,11.8,0,0,0,0.023,-2.7,1.4,-1.3,0
Chris Chiozza,71,175,2019-20,24,TOT,NBA,PG,21,249,12.9,0.526,0.519,0.025,2.5,12.5,7.4,26.7,2.8,0.7,17.5,16.2,0.1,0.3,0.4,0.077,-0.8,1.6,0.8,0.2
Marquese Chriss,NA,NA,2016-17,19,PHO,NBA,PF,82,1743,12.3,0.529,0.354,0.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,0.05,-2.2,-0.1,-2.2,-0.1
Marquese Chriss,NA,NA,2017-18,20,PHO,NBA,PF,72,1527,11.1,0.509,0.398,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.2,0.4,-2.8,-0.3
Marquese Chriss,NA,NA,2018-19,21,TOT,NBA,PF,43,499,9.2,0.455,0.4,0.25,8.6,23.6,15.8,6.5,1.7,1.9,15.3,20.6,-0.6,0.4,-0.2,-0.023,-5.7,-1.9,-7.5,-0.7
Marquese Chriss,NA,NA,2019-20,22,GSW,NBA,PF,59,1196,19.4,0.604,0.101,0.405,10,23.6,16.5,15.3,1.6,4.7,14.7,19,2.1,1.3,3.4,0.136,0.1,0.5,0.6,0.8
Rakeem Christmas,81,250,2015-16,24,IND,NBA,PF,1,6,32,1,0,0,18.3,0,9.1,0,0,0,0,14.7,0,0,0,0.343,5.6,0.9,6.5,0
Rakeem Christmas,81,250,2016-17,25,IND,NBA,PF,29,219,10.4,0.529,0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-4,-1,-5,-0.2
Semaj Christon,75,190,2016-17,24,OKC,NBA,PG,64,973,5.7,0.387,0.283,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.1,0.006,-4.8,-0.3,-5.1,-0.8
Gary Clark,78,225,2018-19,24,HOU,NBA,PF,51,641,9.2,0.48,0.914,0.046,4.1,16.2,10,3.8,1.5,3.5,4.3,10.9,0.3,0.7,1,0.071,-1.1,0.4,-0.7,0.2
Gary Clark,78,225,2019-20,25,TOT,NBA,PF,35,425,10.3,0.534,0.851,0.089,6.6,14.8,10.6,4.7,0.6,2.9,4.5,10.9,0.5,0.4,0.9,0.098,-1.1,-1.1,-2.2,0
Ian Clark,75,175,2013-14,22,UTA,NBA,SG,23,172,9.2,0.485,0.463,0.104,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,-0.2,0.1,-0.1,-0.025,-2.9,-0.3,-3.2,-0.1
Ian Clark,75,175,2014-15,23,TOT,NBA,SG,30,192,8.8,0.483,0.545,0.164,2.4,7.1,4.8,9.7,2.4,1.2,13.2,16,0,0.2,0.2,0.05,-3,0,-3,0
